alpha, gamma, P, Xmean, Xvar, Mmean, Mvar
0.000000, 0.000000, 230000.000000, 25364.705882, 0.000000, 15434057.269455, 0.000000
0.000000, 0.000000, 235000.000000, 25364.705882, 0.000000, 60361963.704513, 0.000000
0.000000, 0.000000, 240000.000000, 25364.705882, 0.000000, 105289870.139572, 0.000000
0.000000, 0.000000, 245000.000000, 25364.705882, 0.000000, 150217776.574631, 0.000000
0.000000, 0.000000, 250000.000000, 25364.705882, 0.000000, 195145683.009689, 0.000000
0.000000, 0.000000, 255000.000000, 25364.705882, 0.000000, 240073589.444746, 0.000000
0.000000, 0.000000, 260000.000000, 25364.705882, 0.000000, 285001495.879808, 0.000000
0.000000, 0.000000, 265000.000000, 25364.705882, 0.000000, 329929402.314864, 0.000000
0.000000, 0.000000, 270000.000000, 25364.705882, 0.000000, 374857308.749919, 0.000000
0.000000, 0.000000, 275000.000000, 25364.705882, 0.000000, 419785215.184980, 0.000000
0.000000, 0.000000, 280000.000000, 25364.705882, 0.000000, 464713121.620031, 0.000000
0.000000, 0.000000, 285000.000000, 25364.705882, 0.000000, 509641028.055096, 0.000000
0.000000, 0.000000, 290000.000000, 25364.705882, 0.000000, 554568934.490157, 0.000000
0.000000, 0.000000, 295000.000000, 25364.705882, 0.000000, 599496840.925210, 0.000000
0.000000, 0.000000, 300000.000000, 25364.705882, 0.000000, 644424747.360273, 0.000000
0.000000, 0.000000, 305000.000000, 25364.705882, 0.000000, 689352653.795330, 0.000000
0.000000, 0.000000, 310000.000000, 25364.705882, 0.000000, 734280560.230389, 0.000000
0.000000, 0.000000, 315000.000000, 25364.705882, 0.000000, 779208466.665448, 0.000000
0.000000, 0.000000, 320000.000000, 25364.705882, 0.000000, 824136373.100495, 0.000000
0.000000, 0.000000, 325000.000000, 25364.705882, 0.000000, 869064279.535565, 0.000000
0.000000, 0.010000, 230000.000000, 25364.705882, 0.000000, 15432576.921971, 16074782.701423
0.000000, 0.010000, 235000.000000, 25364.705882, 0.000000, 60360962.485886, 3596534.130351
0.000000, 0.010000, 240000.000000, 25364.705882, 0.000000, 105291406.104401, 6695585.677927
0.000000, 0.010000, 245000.000000, 25364.705882, 0.000000, 150218940.593507, 9885851.608810
0.000000, 0.010000, 250000.000000, 25364.705882, 0.000000, 195145973.945076, 7510511.726992
0.000000, 0.010000, 255000.000000, 25364.705882, 0.000000, 240073401.251285, 8135684.184882
0.000000, 0.010000, 260000.000000, 25364.705882, 0.000000, 285003424.904678, 9686160.410100
0.000000, 0.010000, 265000.000000, 25364.705882, 0.000000, 329930885.670546, 4489663.804829
0.000000, 0.010000, 270000.000000, 25364.705882, 0.000000, 374857735.749713, 5102268.635811
0.000000, 0.010000, 275000.000000, 25364.705882, 0.000000, 419784442.372421, 13227513.700680
0.000000, 0.010000, 280000.000000, 25364.705882, 0.000000, 464713494.316072, 14115790.640383
0.000000, 0.010000, 285000.000000, 25364.705882, 0.000000, 509640899.594475, 5721200.010863
0.000000, 0.010000, 290000.000000, 25364.705882, 0.000000, 554568764.888286, 5587366.849875
0.000000, 0.010000, 295000.000000, 25364.705882, 0.000000, 599497524.602009, 13495392.320812
0.000000, 0.010000, 300000.000000, 25364.705882, 0.000000, 644423551.547160, 11857901.464169
0.000000, 0.010000, 305000.000000, 25364.705882, 0.000000, 689352920.742362, 8685944.787923
0.000000, 0.010000, 310000.000000, 25364.705882, 0.000000, 734279674.492925, 10604299.988130
0.000000, 0.010000, 315000.000000, 25364.705882, 0.000000, 779207765.966378, 6212638.389496
0.000000, 0.010000, 320000.000000, 25364.705882, 0.000000, 824136210.735577, 5451054.474445
0.000000, 0.010000, 325000.000000, 25364.705882, 0.000000, 869064780.742259, 5945535.649273
0.000000, 0.020000, 230000.000000, 25364.705882, 0.000000, 15436626.173355, 58409731.545705
0.000000, 0.020000, 235000.000000, 25364.705882, 0.000000, 60360545.544005, 35843414.137776
0.000000, 0.020000, 240000.000000, 25364.705882, 0.000000, 105290561.207925, 11523636.807935
0.000000, 0.020000, 245000.000000, 25364.705882, 0.000000, 150218770.949430, 52900215.604398
0.000000, 0.020000, 250000.000000, 25364.705882, 0.000000, 195147877.782204, 35365298.773076
0.000000, 0.020000, 255000.000000, 25364.705882, 0.000000, 240073371.220201, 36630445.680105
0.000000, 0.020000, 260000.000000, 25364.705882, 0.000000, 285004702.651493, 44570752.695541
0.000000, 0.020000, 265000.000000, 25364.705882, 0.000000, 329930928.353506, 27146659.653556
0.000000, 0.020000, 270000.000000, 25364.705882, 0.000000, 374858535.251599, 51877350.731287
0.000000, 0.020000, 275000.000000, 25364.705882, 0.000000, 419785745.371368, 31200255.048752
0.000000, 0.020000, 280000.000000, 25364.705882, 0.000000, 464714348.866477, 36087893.185020
0.000000, 0.020000, 285000.000000, 25364.705882, 0.000000, 509638836.056103, 38929140.003436
0.000000, 0.020000, 290000.000000, 25364.705882, 0.000000, 554569344.844429, 5541590.261325
0.000000, 0.020000, 295000.000000, 25364.705882, 0.000000, 599498705.071864, 24739573.326853
0.000000, 0.020000, 300000.000000, 25364.705882, 0.000000, 644421568.599421, 35831106.100222
0.000000, 0.020000, 305000.000000, 25364.705882, 0.000000, 689354302.195666, 30891238.196742
0.000000, 0.020000, 310000.000000, 25364.705882, 0.000000, 734284715.033914, 41294300.576666
0.000000, 0.020000, 315000.000000, 25364.705882, 0.000000, 779210323.827984, 57208948.591695
0.000000, 0.020000, 320000.000000, 25364.705882, 0.000000, 824135800.877282, 20651054.747229
0.000000, 0.020000, 325000.000000, 25364.705882, 0.000000, 869066067.436831, 33945653.984695
0.000000, 0.030000, 230000.000000, 25364.705882, 0.000000, 15435729.572470, 75323271.735122
0.000000, 0.030000, 235000.000000, 25364.705882, 0.000000, 60363164.449140, 151006841.956157
0.000000, 0.030000, 240000.000000, 25364.705882, 0.000000, 105290682.326756, 46101437.716319
0.000000, 0.030000, 245000.000000, 25364.705882, 0.000000, 150213520.529676, 151832809.484345
0.000000, 0.030000, 250000.000000, 25364.705882, 0.000000, 195144385.817946, 117662933.549191
0.000000, 0.030000, 255000.000000, 25364.705882, 0.000000, 240076758.617032, 63424895.142976
0.000000, 0.030000, 260000.000000, 25364.705882, 0.000000, 285001518.021656, 66180422.257572
0.000000, 0.030000, 265000.000000, 25364.705882, 0.000000, 329934255.379187, 47706421.925885
0.000000, 0.030000, 270000.000000, 25364.705882, 0.000000, 374857176.461461, 46219932.116859
0.000000, 0.030000, 275000.000000, 25364.705882, 0.000000, 419784548.318479, 38643878.935282
0.000000, 0.030000, 280000.000000, 25364.705882, 0.000000, 464711399.947058, 53288442.797438
0.000000, 0.030000, 285000.000000, 25364.705882, 0.000000, 509643726.613279, 34694052.211684
0.000000, 0.030000, 290000.000000, 25364.705882, 0.000000, 554567750.842051, 27423433.052462
0.000000, 0.030000, 295000.000000, 25364.705882, 0.000000, 599493676.293643, 60113172.086040
0.000000, 0.030000, 300000.000000, 25364.705882, 0.000000, 644420797.884499, 26316075.463014
0.000000, 0.030000, 305000.000000, 25364.705882, 0.000000, 689350245.491012, 43096643.633010
0.000000, 0.030000, 310000.000000, 25364.705882, 0.000000, 734282868.243310, 18028985.896045
0.000000, 0.030000, 315000.000000, 25364.705882, 0.000000, 779211731.054890, 85448008.644251
0.000000, 0.030000, 320000.000000, 25364.705882, 0.000000, 824134425.414940, 47199775.668840
0.000000, 0.030000, 325000.000000, 25364.705882, 0.000000, 869066521.183167, 64487149.723231
0.000000, 0.040000, 230000.000000, 25364.705882, 0.000000, 15434713.008879, 121000199.785314
0.000000, 0.040000, 235000.000000, 25364.705882, 0.000000, 60359113.667538, 135506116.825908
0.000000, 0.040000, 240000.000000, 25364.705882, 0.000000, 105289144.366667, 193389982.465948
0.000000, 0.040000, 245000.000000, 25364.705882, 0.000000, 150221308.581624, 141991478.272703
0.000000, 0.040000, 250000.000000, 25364.705882, 0.000000, 195151053.594405, 63452553.078857
0.000000, 0.040000, 255000.000000, 25364.705882, 0.000000, 240072928.325929, 81759065.761447
0.000000, 0.040000, 260000.000000, 25364.705882, 0.000000, 285003927.366630, 126872210.507524
0.000000, 0.040000, 265000.000000, 25364.705882, 0.000000, 329926281.093406, 144940139.980972
0.000000, 0.040000, 270000.000000, 25364.705882, 0.000000, 374855367.060072, 33095672.702455
0.000000, 0.040000, 275000.000000, 25364.705882, 0.000000, 419783245.630199, 49131473.421981
0.000000, 0.040000, 280000.000000, 25364.705882, 0.000000, 464714978.032463, 347905420.070960
0.000000, 0.040000, 285000.000000, 25364.705882, 0.000000, 509635101.108127, 51733534.445817
0.000000, 0.040000, 290000.000000, 25364.705882, 0.000000, 554571260.674692, 201922233.618759
0.000000, 0.040000, 295000.000000, 25364.705882, 0.000000, 599497279.233215, 78516128.467300
0.000000, 0.040000, 300000.000000, 25364.705882, 0.000000, 644422186.140098, 164818320.851908
0.000000, 0.040000, 305000.000000, 25364.705882, 0.000000, 689346208.868553, 201271414.799596
0.000000, 0.040000, 310000.000000, 25364.705882, 0.000000, 734280254.784540, 141905401.158343
0.000000, 0.040000, 315000.000000, 25364.705882, 0.000000, 779206446.862242, 239190621.983155
0.000000, 0.040000, 320000.000000, 25364.705882, 0.000000, 824133088.025099, 168883468.845581
0.000000, 0.040000, 325000.000000, 25364.705882, 0.000000, 869064538.903090, 61715226.330520
0.000000, 0.050000, 230000.000000, 25364.705882, 0.000000, 15432498.530624, 201767705.188446
0.000000, 0.050000, 235000.000000, 25364.705882, 0.000000, 60362639.925843, 199127605.254700
0.000000, 0.050000, 240000.000000, 25364.705882, 0.000000, 105289868.011568, 183525393.620839
0.000000, 0.050000, 245000.000000, 25364.705882, 0.000000, 150207624.651856, 301280488.458821
0.000000, 0.050000, 250000.000000, 25364.705882, 0.000000, 195145666.973879, 259787416.189702
0.000000, 0.050000, 255000.000000, 25364.705882, 0.000000, 240075212.089658, 92664448.326599
0.000000, 0.050000, 260000.000000, 25364.705882, 0.000000, 285004653.284541, 116167687.808038
0.000000, 0.050000, 265000.000000, 25364.705882, 0.000000, 329936478.061492, 119646047.272866
0.000000, 0.050000, 270000.000000, 25364.705882, 0.000000, 374863138.223606, 400157053.326766
0.000000, 0.050000, 275000.000000, 25364.705882, 0.000000, 419787246.076744, 74488994.433035
0.000000, 0.050000, 280000.000000, 25364.705882, 0.000000, 464716283.776878, 101845448.605233
0.000000, 0.050000, 285000.000000, 25364.705882, 0.000000, 509641966.760713, 112820145.848368
0.000000, 0.050000, 290000.000000, 25364.705882, 0.000000, 554574360.412767, 173072263.508621
0.000000, 0.050000, 295000.000000, 25364.705882, 0.000000, 599492801.049053, 79324297.777554
0.000000, 0.050000, 300000.000000, 25364.705882, 0.000000, 644419384.174965, 64994171.125961
0.000000, 0.050000, 305000.000000, 25364.705882, 0.000000, 689351745.376085, 206549315.075206
0.000000, 0.050000, 310000.000000, 25364.705882, 0.000000, 734276815.853992, 196815918.913317
0.000000, 0.050000, 315000.000000, 25364.705882, 0.000000, 779204315.286159, 498383231.074319
0.000000, 0.050000, 320000.000000, 25364.705882, 0.000000, 824136945.359137, 322219502.499749
0.000000, 0.050000, 325000.000000, 25364.705882, 0.000000, 869067931.451992, 167656003.747227
0.000000, 0.060000, 230000.000000, 25364.705882, 0.000000, 15438771.292755, 546297622.237241
0.000000, 0.060000, 235000.000000, 25364.705882, 0.000000, 60356988.623371, 444812823.101861
0.000000, 0.060000, 240000.000000, 25364.705882, 0.000000, 105297221.913620, 354183877.481062
0.000000, 0.060000, 245000.000000, 25364.705882, 0.000000, 150220416.047863, 551795569.485905
0.000000, 0.060000, 250000.000000, 25364.705882, 0.000000, 195146039.273441, 465715238.221842
0.000000, 0.060000, 255000.000000, 25364.705882, 0.000000, 240072470.887087, 67683686.075688
0.000000, 0.060000, 260000.000000, 25364.705882, 0.000000, 285001878.465381, 293815523.721546
0.000000, 0.060000, 265000.000000, 25364.705882, 0.000000, 329926876.910281, 234909367.862660
0.000000, 0.060000, 270000.000000, 25364.705882, 0.000000, 374854236.662331, 341665821.084054
0.000000, 0.060000, 275000.000000, 25364.705882, 0.000000, 419778055.621729, 434893493.578368
0.000000, 0.060000, 280000.000000, 25364.705882, 0.000000, 464709093.987473, 394305281.194220
0.000000, 0.060000, 285000.000000, 25364.705882, 0.000000, 509649236.706882, 348995272.324507
