alpha, gamma, P, Xmean, Xvar, Mmean, Mvar
0.000000, 0.000000, 230000.000000, 25364.705882, 0.000000, 15434057.269455, 0.000000
0.000000, 0.000000, 235000.000000, 25364.705882, 0.000000, 60361963.704513, 0.000000
0.000000, 0.000000, 240000.000000, 25364.705882, 0.000000, 105289870.139572, 0.000000
0.000000, 0.000000, 245000.000000, 25364.705882, 0.000000, 150217776.574631, 0.000000
0.000000, 0.000000, 250000.000000, 25364.705882, 0.000000, 195145683.009689, 0.000000
0.000000, 0.000000, 255000.000000, 25364.705882, 0.000000, 240073589.444748, 0.000000
0.000000, 0.000000, 260000.000000, 25364.705882, 0.000000, 285001495.879807, 0.000000
0.000000, 0.000000, 265000.000000, 25364.705882, 0.000000, 329929402.314862, 0.000000
0.000000, 0.000000, 270000.000000, 25364.705882, 0.000000, 374857308.749918, 0.000000
0.000000, 0.000000, 275000.000000, 25364.705882, 0.000000, 419785215.184977, 0.000000
0.000000, 0.000000, 280000.000000, 25364.705882, 0.000000, 464713121.620027, 0.000000
0.000000, 0.000000, 285000.000000, 25364.705882, 0.000000, 509641028.055092, 0.000000
0.000000, 0.000000, 290000.000000, 25364.705882, 0.000000, 554568934.490151, 0.000000
0.000000, 0.000000, 295000.000000, 25364.705882, 0.000000, 599496840.925209, 0.000000
0.000000, 0.000000, 300000.000000, 25364.705882, 0.000000, 644424747.360271, 0.000000
0.000000, 0.000000, 305000.000000, 25364.705882, 0.000000, 689352653.795331, 0.000000
0.000000, 0.000000, 310000.000000, 25364.705882, 0.000000, 734280560.230390, 0.000000
0.000000, 0.000000, 315000.000000, 25364.705882, 0.000000, 779208466.665450, 0.000000
0.000000, 0.000000, 320000.000000, 25364.705882, 0.000000, 824136373.100505, 0.000000
0.000000, 0.000000, 325000.000000, 25364.705882, 0.000000, 869064279.535569, 0.000000
0.000000, 0.010000, 230000.000000, 25364.705882, 0.000000, 15433968.492341, 8847335.519715
0.000000, 0.010000, 235000.000000, 25364.705882, 0.000000, 60361775.340867, 7856123.564060
0.000000, 0.010000, 240000.000000, 25364.705882, 0.000000, 105289892.939980, 8684291.499703
0.000000, 0.010000, 245000.000000, 25364.705882, 0.000000, 150217758.586117, 8858687.891980
0.000000, 0.010000, 250000.000000, 25364.705882, 0.000000, 195145583.391511, 8273578.365994
0.000000, 0.010000, 255000.000000, 25364.705882, 0.000000, 240073581.352140, 8900823.596993
0.000000, 0.010000, 260000.000000, 25364.705882, 0.000000, 285001420.249342, 7584291.208555
0.000000, 0.010000, 265000.000000, 25364.705882, 0.000000, 329929457.192365, 8509252.008187
0.000000, 0.010000, 270000.000000, 25364.705882, 0.000000, 374857145.061303, 8036458.939647
0.000000, 0.010000, 275000.000000, 25364.705882, 0.000000, 419785275.944886, 8867576.915254
0.000000, 0.010000, 280000.000000, 25364.705882, 0.000000, 464713030.019614, 8932811.263513
0.000000, 0.010000, 285000.000000, 25364.705882, 0.000000, 509640817.932142, 7699608.933369
0.000000, 0.010000, 290000.000000, 25364.705882, 0.000000, 554568833.198988, 9154980.747741
0.000000, 0.010000, 295000.000000, 25364.705882, 0.000000, 599496740.459441, 8632236.338387
0.000000, 0.010000, 300000.000000, 25364.705882, 0.000000, 644424679.489476, 7982909.325312
0.000000, 0.010000, 305000.000000, 25364.705882, 0.000000, 689352634.353846, 8295654.464731
0.000000, 0.010000, 310000.000000, 25364.705882, 0.000000, 734280528.075665, 8838201.519500
0.000000, 0.010000, 315000.000000, 25364.705882, 0.000000, 779208550.513766, 8248049.241407
0.000000, 0.010000, 320000.000000, 25364.705882, 0.000000, 824136482.365738, 7873931.289880
0.000000, 0.010000, 325000.000000, 25364.705882, 0.000000, 869064328.066078, 8380341.717444
0.000000, 0.020000, 230000.000000, 25364.705882, 0.000000, 15434041.289242, 35308203.541956
0.000000, 0.020000, 235000.000000, 25364.705882, 0.000000, 60361746.057542, 38497707.189764
0.000000, 0.020000, 240000.000000, 25364.705882, 0.000000, 105290098.975379, 34315371.165914
0.000000, 0.020000, 245000.000000, 25364.705882, 0.000000, 150217942.309955, 32888059.617827
0.000000, 0.020000, 250000.000000, 25364.705882, 0.000000, 195145572.171730, 34301772.070108
0.000000, 0.020000, 255000.000000, 25364.705882, 0.000000, 240073397.461571, 33303362.026766
0.000000, 0.020000, 260000.000000, 25364.705882, 0.000000, 285001736.934277, 32068105.127681
0.000000, 0.020000, 265000.000000, 25364.705882, 0.000000, 329929375.397622, 35670652.355713
0.000000, 0.020000, 270000.000000, 25364.705882, 0.000000, 374857499.940041, 34526075.404206
0.000000, 0.020000, 275000.000000, 25364.705882, 0.000000, 419785023.500592, 34087541.810568
0.000000, 0.020000, 280000.000000, 25364.705882, 0.000000, 464713100.891039, 36611855.390713
0.000000, 0.020000, 285000.000000, 25364.705882, 0.000000, 509640915.994488, 34413691.164711
0.000000, 0.020000, 290000.000000, 25364.705882, 0.000000, 554569145.243100, 35823872.566213
0.000000, 0.020000, 295000.000000, 25364.705882, 0.000000, 599496792.307293, 39226427.972666
0.000000, 0.020000, 300000.000000, 25364.705882, 0.000000, 644425101.695506, 35517116.869481
0.000000, 0.020000, 305000.000000, 25364.705882, 0.000000, 689353491.712435, 32780934.371187
0.000000, 0.020000, 310000.000000, 25364.705882, 0.000000, 734280254.559918, 34852802.244027
0.000000, 0.020000, 315000.000000, 25364.705882, 0.000000, 779208509.430834, 33808656.901541
0.000000, 0.020000, 320000.000000, 25364.705882, 0.000000, 824135901.829826, 30721681.501838
0.000000, 0.020000, 325000.000000, 25364.705882, 0.000000, 869064311.396537, 31012558.713155
0.000000, 0.030000, 230000.000000, 25364.705882, 0.000000, 15433897.085136, 80130989.802649
0.000000, 0.030000, 235000.000000, 25364.705882, 0.000000, 60362014.518727, 68954234.880600
0.000000, 0.030000, 240000.000000, 25364.705882, 0.000000, 105289681.709195, 83861927.142168
0.000000, 0.030000, 245000.000000, 25364.705882, 0.000000, 150217470.736719, 84960639.730000
0.000000, 0.030000, 250000.000000, 25364.705882, 0.000000, 195145681.750124, 76313364.167219
0.000000, 0.030000, 255000.000000, 25364.705882, 0.000000, 240073818.212717, 74023385.069651
0.000000, 0.030000, 260000.000000, 25364.705882, 0.000000, 285001328.245039, 74731003.831676
0.000000, 0.030000, 265000.000000, 25364.705882, 0.000000, 329929576.812689, 75345558.795441
0.000000, 0.030000, 270000.000000, 25364.705882, 0.000000, 374856830.942299, 86234365.485939
0.000000, 0.030000, 275000.000000, 25364.705882, 0.000000, 419784554.778991, 73018880.089435
0.000000, 0.030000, 280000.000000, 25364.705882, 0.000000, 464712268.773168, 66937904.715368
0.000000, 0.030000, 285000.000000, 25364.705882, 0.000000, 509641137.313529, 85285407.471388
0.000000, 0.030000, 290000.000000, 25364.705882, 0.000000, 554569156.924394, 71881535.560156
0.000000, 0.030000, 295000.000000, 25364.705882, 0.000000, 599496209.933562, 71816684.322305
0.000000, 0.030000, 300000.000000, 25364.705882, 0.000000, 644424281.708892, 79019309.737058
0.000000, 0.030000, 305000.000000, 25364.705882, 0.000000, 689352668.087191, 75660401.279350
0.000000, 0.030000, 310000.000000, 25364.705882, 0.000000, 734281137.097941, 75636435.789882
0.000000, 0.030000, 315000.000000, 25364.705882, 0.000000, 779208803.723027, 73459335.940715
0.000000, 0.030000, 320000.000000, 25364.705882, 0.000000, 824136086.777945, 78862534.313592
0.000000, 0.030000, 325000.000000, 25364.705882, 0.000000, 869064862.673196, 85232809.306692
0.000000, 0.040000, 230000.000000, 25364.705882, 0.000000, 15434687.590954, 130902307.523930
0.000000, 0.040000, 235000.000000, 25364.705882, 0.000000, 60361932.057417, 140463705.867843
0.000000, 0.040000, 240000.000000, 25364.705882, 0.000000, 105289853.712175, 145733069.359697
0.000000, 0.040000, 245000.000000, 25364.705882, 0.000000, 150218198.145696, 135162865.062553
0.000000, 0.040000, 250000.000000, 25364.705882, 0.000000, 195145948.100463, 160042467.965657
0.000000, 0.040000, 255000.000000, 25364.705882, 0.000000, 240074165.244588, 137010752.335000
0.000000, 0.040000, 260000.000000, 25364.705882, 0.000000, 285001282.815937, 131032881.348207
0.000000, 0.040000, 265000.000000, 25364.705882, 0.000000, 329930074.969152, 133221131.558160
0.000000, 0.040000, 270000.000000, 25364.705882, 0.000000, 374858896.956394, 128161587.651570
0.000000, 0.040000, 275000.000000, 25364.705882, 0.000000, 419784924.703316, 133679491.068099
0.000000, 0.040000, 280000.000000, 25364.705882, 0.000000, 464712672.013303, 142589672.427260
0.000000, 0.040000, 285000.000000, 25364.705882, 0.000000, 509640406.327315, 132925958.871897
0.000000, 0.040000, 290000.000000, 25364.705882, 0.000000, 554569597.897540, 130886741.621123
0.000000, 0.040000, 295000.000000, 25364.705882, 0.000000, 599496684.784235, 138973887.645930
0.000000, 0.040000, 300000.000000, 25364.705882, 0.000000, 644424714.466458, 131926542.127541
0.000000, 0.040000, 305000.000000, 25364.705882, 0.000000, 689352677.516617, 144963944.367464
0.000000, 0.040000, 310000.000000, 25364.705882, 0.000000, 734281019.752988, 135398389.937366
0.000000, 0.040000, 315000.000000, 25364.705882, 0.000000, 779208404.643437, 126998754.007977
0.000000, 0.040000, 320000.000000, 25364.705882, 0.000000, 824135611.195802, 156937227.027433
0.000000, 0.040000, 325000.000000, 25364.705882, 0.000000, 869064045.102485, 139515439.287546
0.000000, 0.050000, 230000.000000, 25364.705882, 0.000000, 15434044.507401, 207792730.963956
0.000000, 0.050000, 235000.000000, 25364.705882, 0.000000, 60362820.215365, 202816997.102964
0.000000, 0.050000, 240000.000000, 25364.705882, 0.000000, 105289036.106018, 213080591.889285
0.000000, 0.050000, 245000.000000, 25364.705882, 0.000000, 150218438.972331, 208445791.339065
0.000000, 0.050000, 250000.000000, 25364.705882, 0.000000, 195146025.183228, 193446068.795209
0.000000, 0.050000, 255000.000000, 25364.705882, 0.000000, 240074202.805812, 209940892.169802
0.000000, 0.050000, 260000.000000, 25364.705882, 0.000000, 285000709.369441, 229191101.110593
0.000000, 0.050000, 265000.000000, 25364.705882, 0.000000, 329929145.392786, 200519637.193861
0.000000, 0.050000, 270000.000000, 25364.705882, 0.000000, 374857007.498051, 223534208.050418
0.000000, 0.050000, 275000.000000, 25364.705882, 0.000000, 419784985.661525, 224234703.058444
0.000000, 0.050000, 280000.000000, 25364.705882, 0.000000, 464713499.855634, 231958547.895909
0.000000, 0.050000, 285000.000000, 25364.705882, 0.000000, 509640874.121760, 238626948.255416
0.000000, 0.050000, 290000.000000, 25364.705882, 0.000000, 554569156.161972, 195890349.091331
0.000000, 0.050000, 295000.000000, 25364.705882, 0.000000, 599497053.022922, 201068451.822158
0.000000, 0.050000, 300000.000000, 25364.705882, 0.000000, 644424331.405555, 221119319.074127
0.000000, 0.050000, 305000.000000, 25364.705882, 0.000000, 689352233.555922, 208424949.720348
0.000000, 0.050000, 310000.000000, 25364.705882, 0.000000, 734281359.978204, 221474711.755418
0.000000, 0.050000, 315000.000000, 25364.705882, 0.000000, 779208059.619256, 199994839.910720
0.000000, 0.050000, 320000.000000, 25364.705882, 0.000000, 824136880.096627, 194907888.359448
0.000000, 0.050000, 325000.000000, 25364.705882, 0.000000, 869065637.676583, 211731260.028542
0.000000, 0.060000, 230000.000000, 25364.705882, 0.000000, 15434407.192647, 308845376.793256
0.000000, 0.060000, 235000.000000, 25364.705882, 0.000000, 60362068.554942, 328250821.344401
0.000000, 0.060000, 240000.000000, 25364.705882, 0.000000, 105290408.239385, 332830178.514361
0.000000, 0.060000, 245000.000000, 25364.705882, 0.000000, 150217446.489573, 294140073.532324
0.000000, 0.060000, 250000.000000, 25364.705882, 0.000000, 195146002.616535, 325313691.620713
0.000000, 0.060000, 255000.000000, 25364.705882, 0.000000, 240073727.044339, 302752046.920860
0.000000, 0.060000, 260000.000000, 25364.705882, 0.000000, 285001259.290508, 315058421.106570
0.000000, 0.060000, 265000.000000, 25364.705882, 0.000000, 329928837.401969, 317273662.943920
0.000000, 0.060000, 270000.000000, 25364.705882, 0.000000, 374857734.158189, 292674180.427068
0.000000, 0.060000, 275000.000000, 25364.705882, 0.000000, 419785218.278458, 318790006.314135
0.000000, 0.060000, 280000.000000, 25364.705882, 0.000000, 464713555.143421, 312633043.599642
0.000000, 0.060000, 285000.000000, 25364.705882, 0.000000, 509639956.790837, 300057412.491731
