alpha, gamma, P, Xmean, Xvar, Mmean, Mvar
0.000000, 0.030000, 230000.000000, 25364.705882, 0.000000, 67207.097873, 6040341.689699
0.000000, 0.030000, 235000.000000, 25364.705882, 0.000000, 262803.255457, 5964592.424234
0.000000, 0.030000, 240000.000000, 25364.705882, 0.000000, 458496.868680, 5772623.245890
0.000000, 0.030000, 245000.000000, 25364.705882, 0.000000, 653792.662408, 6211174.912875
0.000000, 0.030000, 250000.000000, 25364.705882, 0.000000, 849444.148243, 5680863.851787
0.000000, 0.030000, 255000.000000, 25364.705882, 0.000000, 1044957.101092, 6623484.629916
0.000000, 0.030000, 260000.000000, 25364.705882, 0.000000, 1240766.981341, 5606388.485294
0.000000, 0.030000, 265000.000000, 25364.705882, 0.000000, 1436369.188093, 5892890.568347
0.000000, 0.030000, 270000.000000, 25364.705882, 0.000000, 1631785.164597, 6142904.627493
0.000000, 0.030000, 275000.000000, 25364.705882, 0.000000, 1827273.874998, 5933936.675525
0.000000, 0.030000, 280000.000000, 25364.705882, 0.000000, 2022881.468860, 5755745.057613
0.000000, 0.030000, 285000.000000, 25364.705882, 0.000000, 2218394.622106, 5564506.409169
0.000000, 0.030000, 290000.000000, 25364.705882, 0.000000, 2413874.953523, 5285335.414509
0.000000, 0.030000, 295000.000000, 25364.705882, 0.000000, 2609422.160102, 5689481.997807
0.000000, 0.030000, 300000.000000, 25364.705882, 0.000000, 2805166.069380, 5601445.879755
0.000000, 0.030000, 305000.000000, 25364.705882, 0.000000, 3000929.686122, 5663910.547654
0.000000, 0.030000, 310000.000000, 25364.705882, 0.000000, 3196379.463619, 5620984.937533
0.000000, 0.030000, 315000.000000, 25364.705882, 0.000000, 3391882.342300, 5935858.576840
0.000000, 0.030000, 320000.000000, 25364.705882, 0.000000, 3587392.968122, 5874659.910267
0.000000, 0.030000, 325000.000000, 25364.705882, 0.000000, 3783090.723474, 6160916.288283
0.000000, 0.040000, 230000.000000, 25364.705882, 0.000000, 67301.619474, 10543622.555597
0.000000, 0.040000, 235000.000000, 25364.705882, 0.000000, 262844.326660, 11384971.501283
0.000000, 0.040000, 240000.000000, 25364.705882, 0.000000, 458423.345994, 11097094.055574
0.000000, 0.040000, 245000.000000, 25364.705882, 0.000000, 654058.740012, 9774077.770931
0.000000, 0.040000, 250000.000000, 25364.705882, 0.000000, 849463.009064, 10060089.033627
0.000000, 0.040000, 255000.000000, 25364.705882, 0.000000, 1045193.417704, 10131557.418385
0.000000, 0.040000, 260000.000000, 25364.705882, 0.000000, 1240858.133940, 8988214.195354
0.000000, 0.040000, 265000.000000, 25364.705882, 0.000000, 1436148.295727, 10352187.290804
0.000000, 0.040000, 270000.000000, 25364.705882, 0.000000, 1631726.348300, 9949307.159776
0.000000, 0.040000, 275000.000000, 25364.705882, 0.000000, 1827230.998281, 11111583.681758
0.000000, 0.040000, 280000.000000, 25364.705882, 0.000000, 2022698.532102, 10461920.830335
0.000000, 0.040000, 285000.000000, 25364.705882, 0.000000, 2218650.563701, 11400641.222870
0.000000, 0.040000, 290000.000000, 25364.705882, 0.000000, 2414232.650525, 10851849.602474
0.000000, 0.040000, 295000.000000, 25364.705882, 0.000000, 2609872.702734, 11367510.198207
0.000000, 0.040000, 300000.000000, 25364.705882, 0.000000, 2805057.683792, 10899108.396191
0.000000, 0.040000, 305000.000000, 25364.705882, 0.000000, 3000565.136846, 9731601.568334
0.000000, 0.040000, 310000.000000, 25364.705882, 0.000000, 3196205.305738, 11011034.888900
0.000000, 0.040000, 315000.000000, 25364.705882, 0.000000, 3391518.473697, 10795278.428705
0.000000, 0.040000, 320000.000000, 25364.705882, 0.000000, 3587422.025586, 10896408.429792
0.000000, 0.040000, 325000.000000, 25364.705882, 0.000000, 3782973.399576, 11071976.631453
0.000000, 0.050000, 230000.000000, 25364.705882, 0.000000, 67361.245772, 18080631.415703
0.000000, 0.050000, 235000.000000, 25364.705882, 0.000000, 262633.896685, 17166736.788415
0.000000, 0.050000, 240000.000000, 25364.705882, 0.000000, 458208.701332, 17465893.235532
0.000000, 0.050000, 245000.000000, 25364.705882, 0.000000, 653229.612585, 15700383.376238
0.000000, 0.050000, 250000.000000, 25364.705882, 0.000000, 849513.208928, 16888938.467071
0.000000, 0.050000, 255000.000000, 25364.705882, 0.000000, 1045184.720325, 14975669.929592
0.000000, 0.050000, 260000.000000, 25364.705882, 0.000000, 1240746.113581, 17885887.814091
0.000000, 0.050000, 265000.000000, 25364.705882, 0.000000, 1436238.305631, 18296852.260663
0.000000, 0.050000, 270000.000000, 25364.705882, 0.000000, 1631582.186274, 17411566.671373
0.000000, 0.050000, 275000.000000, 25364.705882, 0.000000, 1827174.675646, 17493696.267593
0.000000, 0.050000, 280000.000000, 25364.705882, 0.000000, 2022976.017082, 14849247.885661
0.000000, 0.050000, 285000.000000, 25364.705882, 0.000000, 2218539.833691, 17771345.110971
0.000000, 0.050000, 290000.000000, 25364.705882, 0.000000, 2413936.062336, 17306850.073847
