alpha, gamma, P, Xmean, Xvar, Mmean, Mvar
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 899933.288890, 7769880030.790767
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 933432.944620, 8337078757.045979
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 967198.759694, 8952956919.915377
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 999868.769082, 9567420371.820717
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1033510.802895, 10249470224.889366
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1066431.747472, 10909010879.039932
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1099612.376290, 11544150420.727695
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1133196.409342, 12298727602.265390
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1168043.046222, 13154067677.072195
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1199871.137588, 13746159610.423475
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1233907.471549, 14638134846.199488
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1267296.052254, 15398199160.509684
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1300575.328377, 16171800994.376518
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1334476.836170, 17101201541.090618
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1367508.834501, 17902162337.721336
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1400757.959658, 18791352831.408352
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1434605.718267, 19806271937.339836
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, -1892.262504, 87608.370023
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 31245.424170, 8357224.565325
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 63327.206341, 30363692.364851
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 97841.515685, 88496956.183479
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 132368.202119, 187222767.887516
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 164487.767156, 249140309.327384
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 199388.798913, 394256768.258128
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 231302.789686, 509364415.776328
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 264154.200153, 637586678.241647
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 298259.655615, 801403698.558622
